"date","new","cumulative"
2020-03-11,0,0
2020-03-12,3,3
2020-03-13,1,4
2020-03-14,0,4
2020-03-15,3,7
2020-03-16,1,8
2020-03-17,7,15
2020-03-18,2,17
2020-03-19,0,17
2020-03-20,0,17
2020-03-21,2,19
2020-03-22,1,20
2020-03-23,0,20
2020-03-24,1,21
2020-03-25,14,35
2020-03-26,1,36
2020-03-27,3,39
2020-03-28,25,64
2020-03-29,8,72
2020-03-30,24,96
2020-03-31,7,103
2020-04-01,24,127
2020-04-02,40,167
2020-04-03,15,182
2020-04-04,12,194
2020-04-05,9,203
2020-04-06,1,204
2020-04-07,13,217
2020-04-08,4,221
